CODIGO;NOME;PALETE;LASTRO;CAIXA
14138;SKOL BEATS SENSES LATA 473ML SIX-PACK SH C/2 NPAL (BEATS 473);220;22;12
35620;BEATS GREEN MIX LONG NECK 269ML SIX-PACK SH C/4 (BEATS GREEN MIX LN c24);91;13;24
35623;BEATS GREEN MIX LONG NECK 269ML SIX-PACK SH C/2 (BEATS GREEN MIX LN c12);182;26;12
35617;BEATS GREEN MIX LT 269ML SH C/8 (BEATS GREEN MIX 269);520;40;8
32349;BEATS TROPICAL LT 269ML CX CARTAO C/8 NPAL (BEATS TROPICAL 269);520;40;8
32361;BEATS TROPICAL LONG NECK 269ML SIX-PACK SH C/4 (BEATS TROPICAL LONG NECK 269);91;13;24
33734;BEATS RED MIX LT 269ML SH C/8 (BEATS RED MIX 269);520;40;8
31795;BRUTAL FRUIT LONG NECK 275ML SIX PACK SH C 2 (BRUTAL F LN 275);142;26;12
29485;SKOL BEATS CAIPIRINHA LONG NECK 269ML SIX-PACK SH C/4 (SK BEATS CAIPI LONG);91;13;24
28137;SKOL BEATS CAIPIRINHA LT 269ML CX CARTAO C/8 NPAL (SK BEATS CAIPI);520;40;8
13566;SKOL BEATS SENSES LT 269ML CX C/8 FRIDGE PACK (SK SENSES LT269);520;40;8
22003;HALLS CEREJA ENVELOPE 28G CX C/21 (HALLS CEREJA);1650;12;21
22005;HALLS MENTA ENVELOPE 28G CX C/21 (HALLS MENTA);1650;12;21
22007;HALLS EXTRA FORTE ENVELOPE 28G CX C/21 (HALLS E.FORTE);1650;12;21
27179;HALLS MORANGO ENVELOPE 28G CX C/21 (HALLS MORANGO);1650;12;21
27177;HALLS MENTOL ENVELOPE 28G CX C/21 (HALLS MENTOL);1650;12;21
29733;HALLS MELANCIA ENVELOPE 28G CX C/21 (HALLS MELANCIA);1650;12;21
34410;HALLS UVA VERDE ENVELOPE 28G CX C/21 (HALLS UVA VERDE);1650;12;21
34654;FLOPITO PIRULITO CORACAO VERMELHO PCT PLAST 500G (PIRULITO COR VER 500G);45;0;1
34459;FLORESTAL BALA BRAZILIAN COFFEE PCT PLAST 108G (BALA BRAZ COFFEE 108G);140;0;1
34783;FLORESTAL BALA MASTIG MOLE SORT PCT PLAST 100G (BALA MASTIG MOLE 100G);50;0;1
34405;FLORESTAL BALA BRAZILIAN COFFEE PCT PLAST 500G (BALA BRAZ COFFEE 500G);70;0;1
34977;FLOPITO PIRULITO CORACAO VERMELHO PCT 120G (FLOPITO FLORESTAL 120GR);720;0;1
34820;FLORESTAL BALA MENTA PCT PLAST 122G (BALA MENTA 122G);720;0;1
34460;FLORESTAL BALINHA CORAC MORANGO PCT PLAST 108G (BALINHA COR 108GR);140;0;1
34780;FLORESTAL BALA GOMA SININHOS PCT PLAST 150G (BALA GOMA SININHOS 150GR);720;0;1
34782;FLORESTAL BALA GOMA BANANAS PCT PLAST 150G (BALA GOMA BANANAS 150GR);720;0;1
34394;FLORESTAL BALA GOMA BANANAS PCT PLAST 500G (BALA GOMA BANANAS 500G);70;0;1
34393;FLORESTAL BALA GOMA MINHOCAS AZ PCT PLAST 500G (BALA GOMA MINHOCAS AZEDINHAS 500G);70;0;1
34413;FLORESTAL BALA MASTIG MOLE SORT PCT PLAST 500G (BALA MAST MOLE 500G);50;0;1
34416;FLORESTAL BALA MENTA PCT PLAST 500G (BALA MENT PCT 500G);56;0;1
34417;FLORESTAL BALINHA CORAC MORANGO PCT PLAST 500G (BALINHA C MORANGO 500G);70;0;1
34418;FLORESTAL FLOPI BALA FRUIT MIX S AC DISPLAY 480G (BALA FLOPI S/ACUCAR);100;0;1
34411;FLORESTAL FLOPI BALA LARANJA S AC DISPLAY 480G (BALA FLOPI LAR);100;0;1
26099;TRIDENT XFRESH INTENSE ENVELOPE 8G CX21_ (TRIDENT XFR INT);3520;10;21
34298;TRIDENT MORANGO ENVELOPE 8G CX C/21 (TRIDENT MORANGO);3520;10;21
34296;TRIDENT CANELA ENVELOPE 8G CX C/21 (TRIDENT CANELA);3520;10;21
21974;TRIDENT TUTTI-FRUTTI ENVELOPE 8G CX C/21 (TRIDENT TUTTI FRUTTI);3520;10;21
21968;TRIDENT HORTELA ENVELOPE 8G CX C/21 (TRIDENT HORTELA);3520;10;21
21970;TRIDENT MENTA ENVELOPE 8G CX C/21 (TRIDENT MENTA);3520;10;21
21973;TRIDENT MELANCIA ENVELOPE 8G CX C/21 (TRIDENT MELANC);3520;10;21
23672;CERVEGELA PLASTICA BRAHMA 1 UN P/ GFA 600ML CX C/3 (CERVEG. GFA 600 BC);216;3;3
29199;TANG REFRESCO EM PO LARANJA PCT 18G DP C/18 (TANG PO LAR);1920;32;18
29215;TANG REFRESCO EM PO UVA PCT 18G DP C/18 (TANG PO UVA);1920;32;18
29197;TANG REFRESCO EM PO LIMAO PCT 18G DP C/18 (TANG PO LIMAO);1920;32;18
29201;TANG REFRESCO EM PO ABACAXI PCT 18G DP C/18 (TANG PO ABACAXI);1920;32;18
29207;TANG REFRESCO EM PO MORANGO PCT 18G DP C/18 (TANG PO MORANGO);1920;32;18
33641;BALLANTINES 10 YEARS GARRAFA VIDRO 1 L (BALLANTINES 10Y 11);480;0;1
21892;NOVECENTO VINHO ARG MALBEC GFA OW 750ML CX C/6 (VINHO NOVC MALB 750);150;10;6
21894;NOVECENTO VINHO ARG CABERNET SAUVIGNON GFA OW 750ML CX C/6 (VINHO NOVC CAB 750);150;10;6
26993;WHITE HORSE GFA VDR 500ML (WHISKY WHORSE 500ML);768;0;1
36888;SMIRNOFF ICE GREEN APPLE GARRAFA VD 275ML CX C6 (SMIR ICE 275 C/6 GREEN A);312;52;6
36906;SMIRNOFF ICE TROPICAL GARRAFA VD 275ML CX C6 (SMIR ICE 275 C/6 TROPICAL);312;52;6
34669;SMIRNOFF ICE TROPICAL LT 269 ML CX C/24 (SMIRNF LATA ICE TROPICAL);130;13;24
34671;SMIRNOFF ICE GREEN APPLE LT 269 ML CX C/24 (SMIRNF LATA ICE GREEN APPLE);130;13;24
21530;SMIRNOFF ORIGINAL GARRAFA VIDRO 998ML (SMIRNF VDO 998ML);660;0;1
24266;SALTON CHAL. VINHO TINTO SECO GFA VD 750 ML (SAL CHAL TI SEC 750ML);900;0;1
24265;SALTON CHAL. VINHO TINTO SUAVE GFA VD 750 ML (SAL CHAL TI SV 750ML);900;0;1
25342;SALTON ESPUMANTE CLASSIC BRUT GFA VD 750 ML (SAL ESP CLS BRUT 750ML);900;0;1
25343;SALTON ESPUMANTE CLASSIC DEMI SEC GFA VD 750 ML (SAL ESP CLS D SEC 750ML);900;0;1
25345;SALTON ESPUMANTE CLASSIC DEMI SEC ROSE GFA VD 750 ML (SAL ESP CLS D ROSE 750ML);900;0;1
25347;SALTON ESPUMANTE CLASSIC MOSCATEL GFA VD 750 ML (SAL ESP CLS MOSC 750ML);900;0;1
25329;SALTON ESPUMANTE BRUT GFA VD 750 ML (SAL ESP BRUT 750ML);900;0;1
25335;SALTON ESPUMANTE BRUT ROSE GFA VD 750 ML (SAL ESP BRUT ROSE 750ML);900;0;1
25333;SALTON ESPUMANTE MOSCATEL GFA VD 750 ML (SAL ESP MOSC 750ML);900;0;1
25332;SALTON ESPUMAMTE DEMI SEC GFA VD 750 ML (SAL ESP DEMISEC 750ML);900;0;1
29506;SALTON COQ VINHO LUNAE CLERICOT GFA VD 750 ML (SAL LUNAE CLER 750);900;0;1
34192;SALTON VINHO CLASSIC MERLOT GFA VD 750 ML (SAL CLAS MERLOT 750);900;0;1
29507;SALTON VINHO CLASSIC CORTE TINTO SUAVE GFA VD 750 ML (SAL CLAS CORTE TSUAVE 750);900;0;1
34193;SALTON VINHO CLASSIC TANNAT GFA VD 750 ML (SAL CLAS TANNAT);900;0;1
34195;SALTON VINHO LUNAE ROSE GFA VD 750 ML (SAL LUNAE ROSE);900;0;1
36152;SALTON PARAD CAB SAUV/MERLOT TANNAT GFA VD 750 ML (SALT PARAD 750);900;0;1
34198;PRESIDENTE CACHACA GARRAFA VIDRO 900ML (CACHAÇA PRESIDENTE);720;0;1
34197;PRESIDENTE VODKA GARRAFA VIDRO 900ML (VODKA PRESIDENTE);720;0;1
22106;MINI OREO PCT 35G CX C/10 (OREO MINI 35GR);520;5;10
23594;PIRAKIDS BEBIDA LACTEA CHOCOLATE TETRA PAK 200 ML CX C/27 (PIRAKIDS BEB LACT 200ML);180;15;27
31875;PIRACANJUBA WHEY MORANGO TETRAPAK 250ML CX C/12 (PIRAC WHEY MOR 250);256;32;12
31892;PIRACANJUBA B L P W Z L COCO TETRAPAK 250ML CX C/12 (PIRAC WHEY COCO 250);256;32;12
31894;PIRACANJUBA PROTEIN WHEY CHOCOLATE TETRAPAK 250ML CX C/12 (PIRAC WHEY CHOC 250);256;32;12
23246;PIRACANJUBA LEITE CONDENSADO TETRAPAK 395G CX C/27 (PIRAC LCOND TP 395);105;15;27
23256;PIRACANJUBA CREME DE LEITE TETRAPAK 200G CX C/27 (PIRAC CR TP 200);180;15;27
19229;RED BULL BR LATA 250ML SIX PACK NPAL (RB LT 250ML SIX);576;64;6
26607;RED BULL PITAYA LATA 250ML FOUR PACK NPAL (RB LT PITAYA C/4);864;96;4
24306;RED BULL MELANCIA LATA 250ML FOUR PACK NPAL (RB MELANC LT 250ML C4);864;96;4
21666;RED BULL TROPICAL BR LATA 250ML FOUR PACK NPAL (RB LT 250ML C/4);864;96;4
19231;RED BULL SUGAR FREE BR LATA 250ML FOUR PACK NPAL (RB LT 250ML SUGARFREE C/4);864;96;4
19227;RED BULL BR LATA 355ML FOUR PACK (RB LT 355ml c/4);624;78;4
30045;RED BULL BR LATA 473ML CX C 12 (RB 473);154;22;12
32969;RED BULL SUMMER MORANGO E PESSEGO LATA 250ML FOUR PACK NPAL (RB 250 MOR PES);864;96;4
34770;RED BULL SUGAR FREE POMELO LATA 250ML FOUR PACK NPAL (RB 250 POMELO);864;96;4
34420;RED BULL SUMMER MARACUJA E MELAO LATA 250ML FOUR PACK NPAL (RB 250 MELAO MARAC);864;96;4
34429;RED BULL SUGAR FREE AMORA LATA 250ML FOUR PACK NPAL (RB 250 AMORA);864;96;4
34432;RED BULL TROPICAL BR LATA 473ML CX C 12 (RB TROPICAL 473);54;22;12
34126;RED BULL SUGAR FREE BR LATA 355ML FOUR PACK (RB SUGAR FREE 355 C/4);624;78;4
31272;FUSION LT 473ML SH C/12 NPAL (FUSION 473 C12);220;22;12
25700;FUSION PET 2L SHRINK C/6 (FUSION P2);100;20;6
31964;FUSION TROPICAL PET 2L SHRINK C/6 (FUSION TROP P2);100;20;6
