CODIGO;NOME;PALETE;LASTRO;CAIXA
33816;ORIGINAL LT 473ML SH C12 NP MULTPACK (ORI MULTPACK 473);220;22;12
23216;PATAGONIA IPA LATA 473ML 6PACK CARTAO (PAT IPA 473);420;42;6
18490;PATAGONIA AMB LAG NACIONAL LATA 473ML 6PACK CARTAO (PAT AMB 473);420;42;6
18764;PATAGONIA BOH PILS NACIONAL LATA 473ML 6PACK CARTAO (PAT BOH P 473);420;42;6
18765;PATAGONIA WEISSE NACIONAL LATA 473ML 6PACK CARTAO (PAT WEI 473);420;42;6
17266;BOHEMIA LT 473ML CX CARTAO C/12 (BOH 473);220;22;12
1388;SKOL GFA VD 1L 2,99 (SK 1L);50;10;12
1695;BRAHMA CHOPP GFA VD 1L COM TTC (BC 1L);50;10;12
22618;BRAHMA CHOPP ONE WAY 1L GRFE CX C/12 (BC 1L OW);50;10;12
20533;BRAHMA DUPLO MALTE GFA VD 1L (BDM 1L);50;10;12
1743;ANTARCTICA PILSEN GFA VD 1L COM TTC (AP 1L);50;10;12
1744;POLAR EXPORT GFA VD 1L COM TTC (PE 1L);50;10;12
29253;ORIGINAL GFA VD 1L (ORI 1L);50;10;12
10530;ANTARCTICA SUBZERO GFA VD 1L (AP SZ 1L);50;10;12
10537;BOHEMIA GFA VD 990ML (BOH 990ml);50;10;12
35331;BUDWEISER GFA VD 1L (BUD 1L NOVA EMB);50;10;12
17757;BECKS N LONG NECK 330ML SIX-PACK SHRINK C/4 (BECKS 330);84;12;24
279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4 (BRAHMA LN);84;12;24
371;MALZBIER BRAHMA LONG NECK 355ML SIX-PACK BANDEJA C/4 (MALZ BR 355);84;12;24
21501;COLORADO LAGER LN 355ML CX C/12 (COL LAGER LN 355);84;12;24
18807;STELLA ARTOIS LONG NECK 330ML SIX-PACK SHRINK C/4 (STELLA LN 330);84;12;24
29580;STELLA ARTOIS PURE GOLD LONG NECK 330ML SP SH C/4 (STELLA PURE GOLD LN);84;12;24
30942;SPATEN N LONG NECK 330ML SIX-PACK SHRINK C/4 (SPATEN LN 330ML C/4);84;12;24
17808;BUDWEISER OW 330ML CX C/24 (BUD LN 330);84;12;24
22180;BUDWEISER ZERO LONG NECK 330ML SIX-PACK SHRINK C/4 (BUD ZERO LN);84;12;24
12951;BRAHMA CHOPP ZERO LN 355ML SIXPACK CX CART C/04 (BC ZERO LN);84;12;24
24168;MICHELOB ULTRA N LONG NECK 330ML SIX-PACK SHRINK C/4 (MICH LN);84;12;24
27866;CORONA CERO SUNBREW N LONG NECK 330 ML SP BASKET CX C4 (CORONA LN 330 SUNBR);84;12;24
18836;CORONA EXTRA N LONG NECK 330ML CX C/24 NPAL (CORONA LN 330);84;12;24
18780;CORONITA EXTRA N OW 210ML CX C/4 SIX PACK (CORONITA LN 210);104;13;24
23218;PATAGONIA IPA LN 355ML CX C/12 (PAT IPA LN);132;22;12
17276;PATAGONIA AMB LAG NACIONAL LN 355ML CX C/12 (PATAG AMB LAG LN);132;22;12
17268;PATAGONIA BOH PILS NACIONAL LN 355ML CX C/12 (PATAG BOHPIL LN);132;22;12
17278;PATAGONIA WEISSE NACIONAL LN 355ML CX C/12 (PATAG WE LN);132;22;12
21119;SKOL BEATS GT LT 269ML CX CARTAO C/8 NPAL (SK BEATS GT LT269);520;40;8
23269;SKOL BEATS GT LONG NECK 269ML SIX-PACK SH C/4 (SK BEATS GT LN269 c/24);520;40;8
29974;SKOL BEATS GT LONG NECK 269ML SIX-PACK SH C/2 (SK BEATS GT LN269 c/12);520;40;8
23271;SKOL BEATS SENSES LONG NECK 269ML SIX-PACK SH C/4 (SK BEATS SENS269 COM 24);520;40;8
29991;SKOL BEATS SENSES LONG NECK 269ML SIX-PACK SH C/2 (SK BEATS SENS269 COM 12);520;40;8
